Tipo;Medio General;Medio Específico;Título;Resumen;Fecha Emisión;Valorización;Cm2;Duración;Página;Personajes;Candidatos 2016;Tono;Mes Emisión																				
Web;Expreso;expreso.com.pe;Evaluarán posible violación de neutralidad electoral de Ollanta Humala;Según un informe del coordinador de fiscalización del Jurado Electoral Especial (JEE) Lima Centro 1	 Leonel Concha Montoya	 “habría una posible vulneración al principio de neutralidad electoral” cometida por Ollanta Humala	 presidente constitucional de la República. (...) Al día siguiente	 en la ceremonia de lanzamiento de un proyecto de ampliación de agua potable en Villa María del Triunfo	 asoció a un candidato presidencial con “programas truchos”. “Les ofrecían el ‘agua para todos’ y al final era ‘coima para todos’”	 dijo Humala en alusión al programa inaugurado en el gobierno de Alan García. Aunque ayer (jueves)	 Ollanta Humala volvió a hablar de la corrupción en el gobierno fujimorista (1990- 2000). “Estamos criticando	 como tenemos todo el derecho a criticar	 lo bueno o lo malo que se ha hecho en gestiones anteriores”	 se justificó. También minimizó un informe de la asociación civil Transparencia	 según el cual Qali Warma fue la entidad pública que	 a través del Twitter	 transgredió más veces la prohibición de publicidad estatal en período electoral.;25/12/2015;52;;0;;Ollanta Moisés Humala Tasso;Alan García Pérez;Negativo;2015-12							
Web;La República;larepublica.pe;Isaac Humala defiende a Nadine Heredia por caso agendas;Isaac Humala	 padre del presidente Ollanta Humala	 defendió a su nuera Nadine Heredia	 por el caso de las agendas	 y aseguró que “no ha tocado un sol del Estado”.(...) Por otro lado	 Isaac Humala criticó la candidatura de Keiko Fujimori	 y opinó que es “abominable políticamente”	 y recordó las torturas que sufrió su madre	 Susana Higuchi.;29/12/2015;1014.43;;0;;Isaac Humala Núñez;Keiko Fujimori Higuchi;Negativo;2015-12												
Televisión;RPP;Las 5 de las 7;Entrevista a los analistas políticos Jorge Nieto y Carlos Basombrío sobre el giro en la imagen de PPK (RPP TV);PPK busca un giro para su imagen en la campaña electoral. Sobre el particular	 el politólogo Jorge Nieto indicó que hay una campaña errática en relación al personaje de PPK al querer “desgringarlo” y apuntó que tiene un comercial en la que narra una historia muy parecida a la de César Acuña. A su turno	 el analista político Carlos Basombrío sostuvo que la imagen de gringo no es necesariamente es algo en contra.;02/12/2015;2873;;650;;Jorge Nieto Montesinos;Pedro Pablo Kuczynski Godard;Neutro;2015-12																		
Web;Exitosa;exitosadiario.pe;César Villanueva asegura que no es parte de la plancha presidencial de Acuña;Hoy en la mañana	 el candidato presidencial de Alianza para el Progreso	 César Acuña	 presentó al ex primer ministro César Villanueva como parte de su agrupación con miras a las elecciones 2016.;15/12/2015;71.5;;0;;César Villanueva Arévalo;César Acuña Peralta;Neutro;2015-12																	
Medio Impreso;La República;La República;Benítez pide rectificación de voto que blindó a Keiko;Tras el rechazo a su solicitud para que la lideresa de Fuerza Popular	 Keiko Fujimori	 responda ante la Comisión de Fiscalización por las denuncias de irregularidades en su campaña electoral	 el legislador Heriberto Benítez pidió que se rectifique la votación del miércoles que terminó por blindarla. Advirtió que Rondón solo puso a votación la solicitud para citar a Fujimori y no al jefe de la ONPE	 Mariano Cucho	 a fin de que dé cuenta de las observaciones a Fuerza Popular.;11/12/2015;394.53;81.15;0;10;Héctor Virgilio Becerril Rodríguez;Keiko Fujimori Higuchi;Positivo;2015-12															
Web;Perú 21;peru21.pe;Apuntes electorales antes del CADE - Alfredo Ferrero;Las encuestas son foto de hoy y están lejos de definir aún el resultado de abril 10. A partir de esa fecha solo quedarán 2 y es otro partido donde las alianzas con los perdedores y el endose electoral tienen importancia. Keiko es la favorita pero todavía hay tela que cortar	 aún no muestra planes ni equipo técnico. Alan debe subir su porcentaje actual	 acostumbrado a venir de atrás	 ha tenido un traspié con el Plan Bicentenario.. Verónika Mendoza debe mejorar ese magro 2% y veremos si “las izquierdas se unen”.. ¿Acuña seguirá subiendo y pasará al segundo lugar?.. Toledo	 en su alianza con el nacionalismo	 ¿cuánto suma? o con Acción Popular	 que parece va con Barnechea como presidente.. PPK llegará al 20%	 parece estancado y otros dicen que está bajando.;06/12/2015;1874.83;138.4;0;;Alfredo Ferrero Diez-Canseco;Keiko Fujimori Higuchi;Neutro;2015-12													
Web;Perú 21;peru21.pe;Apuntes electorales antes del CADE - Alfredo Ferrero;Las encuestas son foto de hoy y están lejos de definir aún el resultado de abril 10. A partir de esa fecha solo quedarán 2 y es otro partido donde las alianzas con los perdedores y el endose electoral tienen importancia. Keiko es la favorita pero todavía hay tela que cortar	 aún no muestra planes ni equipo técnico. Alan debe subir su porcentaje actual	 acostumbrado a venir de atrás	 ha tenido un traspié con el Plan Bicentenario.. Verónika Mendoza debe mejorar ese magro 2% y veremos si “las izquierdas se unen”.. ¿Acuña seguirá subiendo y pasará al segundo lugar?.. Toledo	 en su alianza con el nacionalismo	 ¿cuánto suma? o con Acción Popular	 que parece va con Barnechea como presidente.. PPK llegará al 20%	 parece estancado y otros dicen que está bajando.;06/12/2015;1874.83;138.4;0;;Alfredo Ferrero Diez-Canseco;Verónika Mendoza Frisch;Neutro;2015-12													
Web;Caretas;caretas.com.pe;No Vale Picarse;Volada: Consultor político Ralph Murphine	 recuerda consejos que le dio a Keiko y Toledo	 así como su trabajo con el asesor de PPK	 Mario Elgarresta.;17/12/2015;101.45;;0;;Ralph Murphine;Alejandro Toledo Manrique;Neutro;2015-12																	
Televisión;RPP;Central de Informaciones ;El once de enero vence plazo para inscribir fórmulas presidenciales (RPP TV);Entrevista. Hasta el próximo 11 de enero tienen plazo los partidos políticos para solicitar la inscripción de su fórmula presidencial ante el JEE. Gerardo Távara	 secretario general de Transparencia	 señaló que tenemos 19 partidos inscritos	 9 en cola y 100 que compraron kits electorales ante la ONPE en los últimos doce meses. Manifestó que de las 17 planchas presidenciales presentadas hasta el momento no hay ninguna formalmente inscritas. Távara señaló que los partidos Perú Libertario de Vladimir Cerrón	 Perú Nación de Francisco Diez-Canseco y Progreso y Obras de Fernando Olivera estarían cerca a alcanzar su inscripción ante el JNE en el plazo requerido y por lo tanto presentar su fórmula presidencial. En otro momento	 opinó sobre la presentación de Fudepp que no es otro partido que el Movadef. El invitado informó también sobre las herramientas que tienen los ciudadanos para conocer a los candidatos que se presentan a estas elecciones.;23/12/2015;2682.94;;607;;Gerardo Távara Castillo;Vladimir Cerrón Rojas;Positivo;2015-12															
Medio Impreso;La Razón;La Razón;¿Quién gobierna? - Ítalo Oberto-Besso;La pareja presidencial	 como exigían llamar al presidente y a su esposa al principio de este gobierno a los funcionarios públicos	 dedica su tiempo y esfuerzos a inmiscuirse en la campaña electoral	 en abierto descuido de su función en el Ejecutivo. El presidente Humala aprovecha cualquier oportunidad -inauguraciones	 presentaciones y celebraciones- para lanzar puntillazos a los candidatos.. en realidad los dardos van dirigidos en especifico a Alan Garcia y a Keiko Fujimori	 enemigos jurados de su esposa. Pedro Cateriano	 por su parte	 se encuentra en calidad de desaparecido.;24/12/2015;1178;200.42;0;4;Ollanta Moisés Humala Tasso;Alan García Pérez;Negativo;2015-12													
Web;La República;larepublica.pe;Muy temprano para apostar - Mirko Lauer;La pregunta clave para los fans de la competencia electoral es si el mapa actual se va a mantener como está. ¿Cuán preliminares son las sonrisas de los punteros? La duda	 así como el nerviosismo y la esperanza que la acompañan	 viene de los tremendos vuelcos de fortuna estadística vistos en el pasado	 momentos de Tinka y de hecatombe. En enero del 2011 Alejandro Toledo era el puntero de la elección en torno del 30%	 una situación que se mantuvo hasta marzo. Luis Castañeda llegó por largos momentos a ser el segundo	 con más de 20%. Keiko Fujimori tercera	 con un estable 20%. Ollanta Humala	 12%.. Pedro Pablo Kuczynski	 algo menos de 4%. Un 17% de blancos y viciados.;16/12/2015;1014.43;34.18;0;;Mirko Lauer;Keiko Fujimori Higuchi;Neutro;2015-12												
Web;El Comercio;elcomercio.pe;La seguridad en los tiempos de Acuña - Enrique Pasquel;Si alguien conoce de cerca la cara de la inseguridad ciudadana es César Acuña. Después de todo	 entre el 2007 y el 2014 fue alcalde de Trujillo	 una de las ciudades más violentas del país (tan violenta que	 por ejemplo	 en el período 2011- 2014 osciló entre el primer y el quinto puesto del ránking de las ciudades con la mayor tasa de homicidios en el Perú). De hecho	 una víctima de la inseguridad que reina en esa localidad fue el mismo hermano de dicho candidato	 quien sufrió un violento asalto en el que murió un policía que le brindaba seguridad. Una buena forma de averiguar qué tan capaz es Acuña para lidiar contra el crimen es analizar cómo le fue en estas lides cuando le tocó ser alcalde de Trujillo. Lo que sabemos	 por lo pronto	 es que al final de su gestión la delincuencia aumentó. De acuerdo con el Ministerio Público	 del 2012 al 2013 se registró un incremento de 30% de delitos en La Libertad y el 60% de ellos se concentró en la capital liberteña.;19/12/2015;5994.53;;0;;Enrique Pasquel;César Acuña Peralta;Negativo;2015-12											
Radio;Radio San Borja;Agenda Central;Entrevista a la procuradora para casos de Derechos Humanos	 Delia Muñoz (San Borja);Entrevista. La procuradora para casos de Derechos Humanos	 Delia Muñoz	 se refirió a la alianza entre el PPC y el APRA. Asimismo	 señaló que el fujimorismo ha demostrado que es una bancada ordenada	 que se maneja de “una forma interesante”	 caso contrario al oficialismo	 el cual ha perdido a la mayoría de sus congresistas por haber “renunciado a su plan de gobierno al momento de tomar el poder”. Con respecto a las críticas de Daniel Urresti contra César Acuña	 indicó que este último sí cuenta con la experiencia necesaria	 pues no ha obtenido sus cargos “de la nada”	 por lo que si él llegara a la presidencia no tendríamos un gobierno tan “desquiciante”	 como el actual. En torno a los casos como Tía María 	 señaló que se debe indicar cual será la participación de las comunidades y aplicar reformas donde se especifique a quien le pertenecerá el territorio	 si al Estado o a la empresa. Precisó que en lo personal si “uno es dueño	 uno decide bajo qué condiciones se trabaja”. Recalcó que ante la ausencia del Estado	 la entidad a cargo se convierte en quien toma el poder. Sobre la participación de los candidatos en la CADE	 sostuvo que ninguno se refirió a los conflictos sociales	 aún cuando la gente ha empezado a tomar la justicia por sus propias manos. Expresó que deben tener la inteligencia necesaria para saber con qué estrategia se beneficia el país.;14/12/2015;1842.54;;1722;;Delia Muñoz Muñoz;Daniel Urresti Elera;Positivo;2015-12			
Web;Canal N;canaln.pe;Susana Villarán confirmó su participación en las elecciones del 2016;Susana Villarán	 anunció su participación en las elecciones generales del 2016. A través de su cuenta de Facebook manifestó que pese a que había decidio lo contrario	 lo hará ante la posible llegada del fujimorismo a la presidencia de la República. (...)No obstante	 Susana Villarán no precisó con qué partido político participará en los comicios	 sin embargo	 dijo que ha conversado con líderes como César Acuña	 Pedro Pablo Kuczynski	 Ántero Flores Aráoz	 Yehude Simon y Alfredo Barrenechea.;12/12/2015;104;;0;;Susana María del Carmen Villarán de la Puente;César Acuña Peralta;Neutro;2015-12												
Web;Canal N;canaln.pe;Susana Villarán confirmó su participación en las elecciones del 2016;Susana Villarán	 anunció su participación en las elecciones generales del 2016. A través de su cuenta de Facebook manifestó que pese a que había decidio lo contrario	 lo hará ante la posible llegada del fujimorismo a la presidencia de la República. (...)No obstante	 Susana Villarán no precisó con qué partido político participará en los comicios	 sin embargo	 dijo que ha conversado con líderes como César Acuña	 Pedro Pablo Kuczynski	 Ántero Flores Aráoz	 Yehude Simon y Alfredo Barrenechea.;12/12/2015;104;;0;;Susana María del Carmen Villarán de la Puente;Pedro Pablo Kuczynski Godard;Neutro;2015-12												
Televisión;América TV;Primera Edición;Daniel Urresti confirma que será el candidato por el Partido Nacionalista (Canal 4);Daniel Urresti confirmó que es el único precandidato en las elecciones internas del Partido Nacionalista. De esta manera	 señaló que Milton von Hesse será el jefe de su Plan de Gobierno. A su estilo	 dijo que él no tiene ninguna universidad que lo respalde por lo que su campaña será austera. Es así	 que señaló que la Universidad Alas Peruanas apoya a Keiko Fujimori	 la Universidad de San Martín de Porres a Alan García y César Acuña es propietario de tres universidades.;09/12/2015;21787.32;;141;;Daniel Belizario Urresti Elera;César Acuña Peralta;Negativo;2015-12																
Web;Perú 21;peru21.pe;Apuntes electorales antes del CADE - Alfredo Ferrero;Las encuestas son foto de hoy y están lejos de definir aún el resultado de abril 10. A partir de esa fecha solo quedarán 2 y es otro partido donde las alianzas con los perdedores y el endose electoral tienen importancia. Keiko es la favorita pero todavía hay tela que cortar	 aún no muestra planes ni equipo técnico. Alan debe subir su porcentaje actual	 acostumbrado a venir de atrás	 ha tenido un traspié con el Plan Bicentenario.. Verónika Mendoza debe mejorar ese magro 2% y veremos si “las izquierdas se unen”.. ¿Acuña seguirá subiendo y pasará al segundo lugar?.. Toledo	 en su alianza con el nacionalismo	 ¿cuánto suma? o con Acción Popular	 que parece va con Barnechea como presidente.. PPK llegará al 20%	 parece estancado y otros dicen que está bajando.;06/12/2015;1874.83;138.4;0;;Alfredo Ferrero Diez-Canseco;Alan García Pérez;Neutro;2015-12													
Web;Correo;diariocorreo.pe;?Elecciones 2016: No hubo un ganador en el CADE	 señalan analistas;Luis Benavente explicó que si bien el líder del Apra sabía que no era el favorito en el CADE	" este trató de ganarse la confianza de los presente. """"""El hecho de decir que Luis Carranza volvería a ser su ministro de Economía"	 es una señal que da mucha estabilidad	" mucha confianza"""""""	 señaló Benavente a canal N. En tanto	" Juan De la Puente dijo que de todos los candidatos que expusieron sus propuestas Alan García fue el más coherente. """"""Ha hilvanado la política con elementos técnicos del gobierno"""""""	 aseveró el analista. Asimismo	" ambos analistas sostuvieron que el CADE fue un escenario favorable para Pedro Pablo Kuczynski. """"""El más solvente en temas técnicos fue Pedro Pablo Kuczynski"""""""	 De la Puente.;06/12/2015;702.1;;0;;Juan Francisco De la Puente Mejía;César Acuña Peralta;Negativo;2015-12											
Web;Correo;diariocorreo.pe;?Elecciones 2016: No hubo un ganador en el CADE	 señalan analistas;Luis Benavente explicó que si bien el líder del Apra sabía que no era el favorito en el CADE	" este trató de ganarse la confianza de los presente. """"""El hecho de decir que Luis Carranza volvería a ser su ministro de Economía"	 es una señal que da mucha estabilidad	" mucha confianza"""""""	 señaló Benavente a canal N. En tanto	" Juan De la Puente dijo que de todos los candidatos que expusieron sus propuestas Alan García fue el más coherente. """"""Ha hilvanado la política con elementos técnicos del gobierno"""""""	 aseveró el analista. Asimismo	" ambos analistas sostuvieron que el CADE fue un escenario favorable para Pedro Pablo Kuczynski. """"""El más solvente en temas técnicos fue Pedro Pablo Kuczynski"""""""	 De la Puente.;06/12/2015;702.1;;0;;Luis Benavente Gianella;Alejandro Toledo Manrique;Neutro;2015-12											
Web;Caretas;caretas.com.pe;No Vale Picarse;Volada: Consultor político Ralph Murphine	 recuerda consejos que le dio a Keiko y Toledo	 así como su trabajo con el asesor de PPK	 Mario Elgarresta.;17/12/2015;101.45;;0;;Ralph Murphine;Alan García Pérez;Neutro;2015-12																	
Web;Expreso;expreso.com.pe;Alberto Fujimori se opone a evaluación de “vieja guardia”;El expresidente Alberto Fujimori se opuso en una carta pública a los intentos de renovación de las figuras de su partido que plantea su hija Keiko	 candidata a las elecciones presidenciales por Fuerza Popular. Fujimori publicó ayer en su cuenta en la red social Facebook una carta en la que afirma que “los verdaderos evaluadores son los electores”	 en referencia a una comisión que ha formado su hija para evaluar a los candidatos al Congreso por el fujimorismo.;18/12/2015;52;;0;;Kenji Gerardo Fujimori Higuchi;Keiko Fujimori Higuchi;Neutro;2015-12																		
Medio Impreso;La Razón;La Razón;Balance de los 5 candidatos presidenciales en el CADE 2015 - Víctor Raúl Trujillo de Zela;Muchos dirán ahora que lo que se vio en el CADE 2015 era lo que se esperaba	 pero toda elección es siempre una historia distinta. Y en lo que va de esta historia	 Alan García ha sabido demostrar su larga superioridad política e intelectual frente a los demás candidatos	 y eso que recién empieza. Keiko en el mismo formato de leer sin apuros su libreto	 muy similar a lo que hacía Luis Castañeda Lossio	 PPK fue opacado tras una traicionera tos que impidió escuchar con atención sus propuestas y Acuña no pudo hilvanar palabras pues se equivocada en cada momento.;07/12/2015;1048.42;178.06;0;13;Víctor Raúl Trujillo de Zela;César Acuña Peralta;Negativo;2015-12															
"Medio Impreso;Exitosa;Exitosa Diario;Kenji se rebela y cuestiona """"""evaluaciones"""""" a legisladoras;Siguen los enfrentamientos en Fuerza Popular por las declaraciones de su lideresa Keiko Fujimori"	 quien anunció el pasado domingo que el CEN de su partido evaluará la lista congresal lo que podría dejar sin una curul a la escuderas del ex presidente Alberto Fujimori.;17/12/2015;2980.43;368.5;0;5;Kenji Gerardo Fujimori Higuchi;Keiko Fujimori Higuchi;Neutro;2015-12																			
Web;Terra;terra.com.pe;Kenji Fujimori arremete contra Susana Villarán;Kenji Fujimori no se quedó callado y le respondió a la exalcaldesa de Lima	 Susana Villarán 	 quien argumentó que su incorporación a la plancha presidencial de Daniel Urresti es para hacer frente al fujimorismo.A través de cuenta de Twitter	 el parlamentario y hermano de Keiko Fujimori señaló que para Susana Villarán más pesa el “odio al fujimorismo” que su defensa de género. Asimismo califica de “propositiva” a Villarán por aliarse a Urresti para que no gane Keiko.;21/12/2015;433.33;75.17;0;;Susana María del Carmen Villarán de la Puente;Keiko Fujimori Higuchi;Negativo;2015-12																	
Medio Impreso;El Comercio;El Comercio Cuerpo A;Las fórmulas del 2016 - Hugo Guerra;Quisiera celebrar el advenimiento del nuevo año con optimismo	 pero cuando analizo la política nacional solo puedo avizorar el 2016 con recelo. La campaña electoral	 hasta este punto	 es un desastre 	 con pocas excepciones. La falta de consistencia ideológica 	 organización y trayectoria de la mayor parte de instituciones participantes (increíblemente 19 fórmulas) ratifica que prácticamente carecemos de partidos políticos 	 pero abundan los clubes electorales oportunistas que se aprestan no a tomar el poder 	 sino a asaltar el Estado. (...) Así	 solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable	 pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque	 aunque cueste decirlo	 ella no es lo mismo que su corrupto padre.;28/12/2015;2981.55;325.64;0;16;Hugo Guerra Arteaga;Alfredo Barnechea García;Neutro;2015-12									
Radio;Exitosa;Milagros Leiva en Exitosa ;Entrevista a Fernando Rospigliosi	 miembro del equipo de campaña de Peruanos Por el Kambio (Exitosa);Entrevista. Fernando Rospigliosi	 miembro del equipo de campaña de Peruanos Por el Kambio	 comentó sobre las propuestas de gestión de Pedro Pablo Kuczynski	 el mensaje que empiezan a transmitir – se refirió al nivel de publicidad de otros candidatos como César Acuña – y como brindar una mejora de la economía. Sobre temas de seguridad ciudadana y la iniciativa del ministro José Luis Pérez Guadalupe de entregar tablets a cambio de armamento	 Rospigliosi resaltó que en estos momentos la corrupción está predominando al no haber políticas o ideas definidas. En el plan de PPK – agregó – la propuesta de renovación radica desde el CNM	 paran instalar gente capaz y honesta.. recordó la purga que encabezó para erradicar malos funcionarios y efectivos en la Policía Nacional. Por otro lado	 negó criticar la inclusión de Vladimiro Huaroc al grupo fujimorista	 además de puntualizar en la 'alianza' de PPK con el pueblo. En medio de la transmisión informaron que Daniel Urresti llegó al Congreso para reunirse con miembros de Gana Perú	 él es voceado como candidato presidencial del grupo.;10/12/2015;3986.01;;2109;;Fernando Miguel Rospigliosi Capurro;César Acuña Peralta;Neutro;2015-12											
Web;La República;larepublica.pe;Ley Pulpín: De la protesta a la propuesta - Claudia Cisneros;Si los neoliberales de la Confiep	 ADEX	 SNI y sus ocasionales consortes de gobierno fueran liberales de verdad	 respetarían y defenderían la libertad ciudadana de protestar ante la afectación a sus derechos. Pero nada de eso pasó en el Perú neoliberal durante el episodio de la nefasta Ley Pulpín (publicada el 16 de diciembre de 2015 y derogada el 26 de enero de 2015) . Las 5 marchas juveniles fueron duramente reprimidas	 los jóvenes detenidos abusivamente	 privados de su defensa	 los líderes juveniles vigilados en sus casas	 amedrentados por el ministro Urresti (hoy quiere ser Presidente) con una “denuncia previa” (¡un delito futuro!). Los liberales de verdad jamás se hubieran prestado a promover o permitir que a los jóvenes que defendían sus derechos se les intentara asociar al terrorismo de Movadef y se les infiltrara policías encubiertos que hacían de estudiantes violentos para desacreditarlos. Un verdadero liberal	 ni por asomo hubiera aceptado que las fuerzas del (des)orden exigieran presentar DNI para ir a protestar legítimamente (https://goo.gl/S9DMrE).;20/12/2015;1014.43;32.16;0;;Claudia Cisneros;Daniel Urresti Elera;Neutro;2015-12												
Web;El Comercio;elcomercio.pe;La suma de todos los miedos	 por Mario Ghibellini;La última encuesta de Datum ha provocado un pequeño brote de pánico entre algunos candidatos. En ella	 el crecimiento de César Acuña – que ha alcanzado un empate técnico con Kuczynski y ha superado ya sin recursos de amparo que valgan a Alan García- se ha confirmado y las reacciones de sofoco han empezado a menudear. En los comandos de campaña de los partidos que hasta ayer desdeñaban alianzas y críticas se ha comenzado a hablar de “rediseño de estrategia”. Y los postulantes de solera que sistemáticamente evitaban referirse al representante de Alianza Para el Progreso (APP) por considerarlo casi un polizón en su liga	 de pronto han encontrado espacio en sus discursos para denostarlo.;14/12/2015;5994.53;;0;;Mario Ghibellini;César Acuña Peralta;Neutro;2015-12																	
Televisión;Canal N;N Directo;Declaraciones de Javier Velásquez sobre alianza entre el Apra y el PPC (Canal N);En vivo. El congresista Javier Velásquez destacó la alianza entre el Apra y el Partido Popular Cristiano y dijo que hay un compromiso de unir esfuerzos para plantearle una solución al país. Asimismo	 aseguró que Alan García es el candidato presidencial en esa alianza. “Lourdes Flores tendrá un rol muy protagónico en el desenvolvimiento de la campaña electoral”	 acotó.;11/12/2015;5446;;389;;Angel Javier Velásquez Quesquén;Alan García Pérez;Positivo;2015-12																		
Medio Impreso;Correo;Correo;CADE 2015: Sorpresas y revelaciones - Eugenio D´Medina Lora;En mi concepto	 García y Acuña tuvieron las mejores intervenciones en CADE 2015. Sorpresa total. pues los favoritos del auditorio y de las encuestas- Keiko y PPK fueron demasiado previsibles. En cuanto a Toledo	" sigue creyendo que está en los """"""cuatro suyos"""""" y no se reinventa. Pero ¿por qué me parece que presentaciones tan disimiles fueron las mejores? Pues porque engancharon emocionalmente con la gente. cada cual a su estilo.;05/12/2015;1195.5;125.83;0;11;Eugenio D´Medina Lora;César Acuña Peralta;Positivo;2015-12"																		
"Medio Impreso;Nuevo Sol;Nuevo Sol;Toledo y García serán citados por """"""Lava Jato"""""";Juan Pari"	 presidente de la comisión del Congreso que investiga los presuntos pagos de sobornos a funcionarios peruanos por parte de empresas brasileñas	 afirmó que Alejandro Toledo y Alan García serían citadas para esclarecer las coimas que se rea!izaron durante sus gobiernos en este caso	 conocido como Lava Jato. (...) Titular de OSCE. Informó	 además	 que hoy la presidenta del Organismo Supervisar de las Contrataciones del Estado (OSCE)	 Magali Rojas Delgado	 acudirá a la sesión en calidad de invitada.;07/12/2015;1856.79;351.7;0;2;Juan Donato Pari Choquecota;Alan García Pérez;Neutro;2015-12													
Televisión;Canal N;N Portada;Entrevista al regidor Augusto Rey y al economista Pablo Secada (Canal N);Entrevista. Augusto Rey	 regidor de la MML	 y el economista Pablo Secada se pronunciaron sobre la presentación de los candidatos presidenciales en la CADE. Augusto Rey dijo que los candidatos no tienen propuestas concretas sobre la inseguridad ciudadana	 esto en referencia al exmandatario Alejandro Toledo	 quien dijo que 'mataría' la inseguridad ciudadana. Además	 comentó que no tiene una conexión con la realidad y que está en riesgo la sostenibilidad de su partido político. Sobre la presentación de César Acuña	 señaló que el conflicto de interés no radica en su función dentro del directorio de la universidad César Vallejo	 si no en la propiedad de una universidad privada. Además	 dijo que Acuña le parece muy mal orador y que tiene un nivel de informalidad en toda su campaña. Luego	 Augusto Rey opinó que Keiko Fujimori tiene algunas propuestas más concretas	 pero que debe deslindar del pasado fujimorista. A su vez	 Pablo Secada opinó que ningún postulante está enfocando el tema de la inseguridad ciudadana con seriedad. En otro momento	 tras la presentación del presidente Ollanta Humala en la CADE	 donde refirió que el ministro de Educación es popular gracias a él. Augusto Rey señaló que el ministro Saavedra necesita un respaldo político y no un debilitamiento. Mientras que Pablo Secada señaló que se queda con el comentario del presidente de que la reforma educativa debería ser una política de Estado. Sobre la presentación de Alan García	 el economista Secada dijo que el candidato aprista es el único que hizo un discurso político. En tanto	 Rey indicó que García tiene un discurso excesivo.;05/12/2015;33054;;2361;;Augusto Rey Hernández de Agüero;Keiko Fujimori Higuchi;Neutro;2015-12					
Web;La República;larepublica.pe;Benítez pide rectificación de voto que blindó a Keiko;Tras el rechazo a su solicitud para que la lideresa de Fuerza Popular	 Keiko Fujimori	 responda ante la Comisión de Fiscalización por las denuncias de irregularidades en su campaña electoral	" el legislador Heriberto Benítez pidió que se rectifique la votación del miércoles que terminó por blindarla. """"""He pedido rectificación porque Rondón dijo que la votación había terminado 9 a 5. No ha cumplido con la formalidad"	" ya que fuimos seis los que votamos por citar a Keiko"""""""	 subrayó y explicó que su solicitud se ampara en el Art. 58 del Reglamento del Congreso. Advirtió que Rondón solo puso a votación la solicitud para citar a Fujimori y no al jefe de la ONPE	 Mariano Cucho	 a fin de que dé cuenta de las observaciones a Fuerza Popular.;11/12/2015;1014.43;56.52;0;;Heriberto Benítez Rivas;Keiko Fujimori Higuchi;Negativo;2015-12													
Radio;Exitosa;Exitosa Noticias;Comentarios del secretario general de Transparencia	 Gerardo Távara (Exitosa);Vía telefónica. El secretario general de Transparencia	 Gerardo Távara	 comentó sobre la reciente apertura de investigación contra César Acuña por presuntas irregularidades en la gestión que presidió en Trujillo.;24/12/2015;606.69;;321;;Gerardo Távara Castillo;César Acuña Peralta;Negativo;2015-12																	
Medio Impreso;El Peruano;El Peruano;A vicepresidencia;La lideresa del PPC	 Lourdes Flores Nano	 será la candidata a la primera vicepresidencia de la República en la fórmula presidencial de Alan García en las elecciones de 2016	" adelantó anoche el congresista Javier Bedoya de Vivanco. """"""Sí"	" ella es la candidata que va a la primera vicepresidencia en la plancha que encabeza Alan García"""""".;14/12/2015;262.39;24.85;0;5;Javier Alonso Bedoya De Vivanco;Alan García Pérez;Neutro;2015-12"																
Radio;RPP;La Rotativa del Aire (Tercera Edición);Entrevista a Raúl Castro	 presidente del PPC (RPP);Despacho: El presidente del PPC	 Raúl Castro	 se pronunció sobre la decisión de que el exgobernador regional de Apurímac	 David Salazar Morote	 postule a la segunda vicepresidencia en la plancha de Alan García para las elecciones del 2016. Por otro lado	 pidió moderación a la primera dama Nadine Heredia en sus expresiones en el marco la campaña electoral.;18/12/2015;1793;;163;;Raúl Castro Stagnaro;Alan García Pérez;Neutro;2015-12														
Medio Impreso;La República;La República;Candidatos: ¿se parecen demasiado? - Juan de la Puente;La idea general luego de las exposiciones de los candidatos presidenciales en CADE 2015 es que los aspirantes se parecen tanto en las propuestas como en sus omisiones. De los tres grandes problemas que dominan la campaña la desaceleración de la economía	 la corrupción y la inseguridad- solo el primero fue abordado con cierta amplitud -aunque no en profundidad- en una medida que permite considerar la evolución del Perú si alguno de ellos ganara las elecciones (...) ) García y Toledo apuestan por la política mientras que los otros tres reducen el gobierno a la gestión técnica.. es la colisión entre la década de 2001-2011 con la de 1990-2000	 de la que Humala es una síntesis desarmada. PPK llegó al extremo de prometer menos política	 como si esa contra-política no nos estuviera matando. Dos candidatos	 García y PPK	 designaron ante cámaras a sus ministros de Economía	 mientras Keiko guardó bajo siete llaves la identidad de su equipo (...) Finalmente	 también ha servido para fijar un techo conceptual al crecimiento de Acuña	 que parece adolecer de la misma falta de calidad que su presentación.;06/12/2015;1213.75;189.25;0;11;Juan Francisco De la Puente Mejía;Alejandro Toledo Manrique;Neutro;2015-12												
